Кратер на обратной стороне Луны назван в честь китайского чиновника, который был (предположительно) первым человеком, побывавшим в космосе. Как его звали?,Ван Ху
Всего сколько матчей было сыграно на ЧМ-2018?,64.0
В каком веке недалеко от устья Амстела было основано поселение, которое в конечном итоге стало городом Амстердамом?,12 век
В каком городе скончался Генрих I де Бурбон, принц де Конде?,Сен-Жан-д'Анжели
В каком климате в основном произрастает базилик, известный в Европе как «Король трав»?,Тропические районы
В какой стране произошла «Битва при Маренго»?,Италия
В какую эпоху китайской истории произошла «битва на реке Фэй», в которой небольшое количество солдат одержало победу над значительно превосходящими силами?,Династия Восточная Цзинь
В каком году Эйнштейн опубликовал свои четыре «Чудесных года»?,1905.0
В каком году Марадона забил свой гол «Рука Бога»?,1986.0
В каком году Марк Цукерберг создал Facebook?,2004.0
В каком году Катар принимал чемпионат мира по футболу?,2022.0
В каком году был введен в обиход нынешний трофей чемпионата мира?,1974.0
В каком году состоялась премьера «Позднего шоу с Дэвидом Леттерманом»?,1993.0
В каком году была основана ФИФА?,1904.0
В каком году был проведен первый чемпионат мира среди женщин?,1991.0
В каком году был проведен первый чемпионат мира?,1930.0
В каком веке возник классический английский десертный липкий пудинг из ириски?,Середина 20 века
В каком городе США McDonald's основал Гамбургский университет?,Чикаго
В каком городе находится статуя Русалочки в Дании?,Копенгаген
В каком городе находится штаб-квартира ФИФА?,Цюрих
В каком городе сейчас находится Обелиск Тутмоса III?,Стамбул
В каком городе прошел первый в мире международный футбольный матч?,Глазго
На заднем плане какого командира можно увидеть курицу?,Грузинская царица Тамар
На заднем плане какого командира можно увидеть дерево сакуры?,Минамото-но Ёсицунэ
В какой стране возник чай ассам, известный своими богатыми ароматами?,Индия
В какой стране возникло пение «Оле, Оле, Оле»?,Испания
В какой стране происходили карлистские войны в XIX веке?,Испания
В какой стране находится Александрийский маяк, одно из семи чудес Древнего мира?,Египет
В какой стране находится загадочный Стоунхендж?,Великобритания
В какой стране изобрели кондиционер?,США
В какой стране родился Боттичелли, автор картины «Рождение Венеры»?,Италия
В какой стране в 1847 году была основана ведущая пивоваренная компания Carlsberg Group?,Дания
В какой стране впервые был произведен сыр моцарелла, который широко ассоциируется с итальянской кухней и пиццей?,Италия
В какой стране прошел 20-й чемпионат мира?,Бразилия
В какой стране изобрели электрическую рисоварку?,Япония
В какой стране родился знаменитый революционер и военный стратег Симон Боливар?,Венесуэла
В какой стране был изобретен микроскоп?,Нидерланды
В какой стране находилась Сомма, самое печально известное поле битвы Первой мировой войны?,Франция
В какой стране впервые была изобретена лапша быстрого приготовления?,Япония
В какой стране велись войны Алой и Белой розы?,Англия
В каком английском дворце заседала «Звездная палата»?,Вестминстерский дворец
На каком английском стадионе проходил финал чемпионата мира 1966 года?,Стадион Уэмбли
В какую эпоху французской истории была построена Триумфальная арка?,Наполеоновская эпоха
В какую эпоху была построена самая первая пирамида Древнего Египта?,Третья династия Египта
В какой галерее сейчас находится выставка «Мона Лиза»?,Лувр
В каком озере находится остров Ольхон?,Озеро Байкал
В каком из этих походов принимал участие Тутмос III?,Битва при Мегиддо
В каком из этих произведений Шерлок Холмс появляется впервые?,Этюд в багровых тонах
В каком регионе зародился популярный хумус здорового питания?,Средний Восток
В каком регионе Италии находится кафедральный собор Санта-Мария-дель-Фьоре?,Тоскана
В каком регионе располагалась империя Шривиджайи?,Юго-Восточная Азия
В каком театре в 1808 году дебютировала Симфония No 5 до минор Бетховена?,Театр Ан-дер-Вин
В какие два года чемпионат мира был приостановлен из-за Второй мировой войны?,1942 и 1946 гг.
В каком городе Великобритании были основаны The Beatles в 1960 году?,Ливерпуль
На каком чемпионате мира капитан сборной Англии Гарри Кейн забил 6 голов, что принесло ему награду «Золотая бутса»?,Чемпионат мира по футболу 2018 года в России
На каком чемпионате мира Испания выиграла свой первый чемпионат мира?,Чемпионат мира по футболу 2010 в ЮАР
В каком году Александр Флеминг открыл пенициллин?,1928.0
В каком году у каждого чемпионата мира появился талисман?,1966.0
В каком году Ричард Львиное Сердце и Саладин подписали перемирие?,1192.0
В каком году произошла битва при Гуаньду?,200.0
В каком году вышло первое издание «Дневника Анны Франк»?,1947.0
В каком году был проведен первый Уимблдонский чемпионат по теннису?,1877.0
В каком году был принят Кодекс Наполеона?,1804.0
В каком году был официально образован Советский Союз?,1922.0
В каком году был запущен марсианский зонд «Тяньвэнь-1»?,2020.0
В чьей мастерской учился Леонардо да Винчи?,Андреа дель Верроккьо
Недостаточное поступление какого элемента может вызвать тиреомегалию?,Йод
В какое божество превратился Имхотеп после своей смерти?,Бог медицины
В какую форму превращается веерообразный активный навык командира Ли Сон Ге после получения опыта?,Круг
Японский плющ растет вверх на стенах и деревьях, чтобы улавливать энергию из какого источника?,Солнечный свет
Иоганн Вермеер, автор картины «Девушка с жемчужной сережкой», был родом из какой страны?,Нидерланды
Однажды Кира бросила вызов ожиданиям всего мира в славной битве. Где происходило это сражение?,Каньон Сансет
«Знай самого себя» — это широко известный афоризм какой страны?,Древняя Греция
Непереносимость лактозы вызвана нехваткой чего?,Лактазы
Последний из римлян — эпитет, используемый для описания человека с классическим римским образом мышления. Кто НЕ может быть примером этого?,Аттила
Легендарный полководец династии Чосон Ли Сун Син пожертвовал своей жизнью в какой знаменитой битве?,Легендарный полководец династии Чосон Ли Сун Син пожертвовал своей жизнью в какой знаменитой битве?
Ли Синь, предок «Летающего генерала» Ли Гуана, был генералом какого государства в период Воюющих царств в истории Китая?,Цинь
Мачу-Пикчу является примечательной реликвией какой цивилизации?,Инки
Человек Мира - это прозвище какого командира?,Имхотеп
За свою карьеру Месси использовал 6 разных номеров на футболках. Что это за 6 чисел?,10, 14, 15, 18, 19, 30
Методы смягчения последствий опустынивания НЕ включают:,Чрезмерная эксплуатация подземных вод
Военный стратег Велизарий служил личным телохранителем какого императора в молодости?,Юстиниан I
Мирослав Клозе является рекордсменом по количеству голов, забитых на чемпионатах мира. Сколько голов он забил?,16.0
Мурасаки является персонажем какого из следующих произведений?,Повесть о Гэндзи
Мутации важны, потому что они приводят к чему?,Генетическая изменчивость, необходимая для эволюции популяции
Северные гуманисты, такие как Эразм Роттердамский, были наиболее известны чем?,Интерес к религиозным и социальным реформам
Известный датский археолог Кристиан Юргенсен Томсен предложил систему «трех возрастов» для классификации древней истории. Какой этап первый?,Каменный век
Какое из 12 животных китайского зодиака стоит на первом месте?,Крыса
Из приведенных ниже командиров, кто лучше всего подходит для того, чтобы вести войска ПРОТИВ врагов-лучников?,Цао Цао
Какой из приведенных ниже командиров лучше всего подходит для того, чтобы вести войска ПРОТИВ кавалерии противника?,Сунь Цзы
Из приведенных ниже командиров, кто лучше всего подходит для того, чтобы вести войска ПРОТИВ пехоты противника?,Герман
Кто из перечисленных ниже командиров лучше всего подходит для руководства войсками при сборе ресурсов?,Сондок
Какие из следующих событий, скорее всего, непосредственно привели к бронзовому веку?,Бронза тверже и долговечнее, чем другие металлы, доступные в то время
Каким был пункт назначения «Титаника» во время его трагического первого рейса?,Нью-Йорк
На каком животном был основан талисман чемпионата мира по футболу 2018 года в России?,Волк
На каком континенте впервые поселился сервал?,Африка
На каком континенте расположен Бенин?,Африка
На каком континенте, как принято считать, возникла человеческая раса?,Африка
На каком ингредиенте был основан талисман чемпионата мира по футболу в Мексике 1986 года?,Перец
Один «день» на планете Венера примерно равен скольким земным суткам?,243 дня
Сто сорок тысяч всех разоружены! Неужели среди них не было ни одного человека? Какой поэт династии Тан написал это двустишие?,Мадам Хуаруй
Одним из преимуществ консервов является их длительный срок хранения. Где были сделаны первые консервы из сельди?,Северная Европа
У панд 5 когтистых пальцев, а также шестой палец. Для чего панды используют шестую цифру?,Держать бамбук во время еды
Страницы паспорта используются при иммиграции в другие Королевства. От чего зависит количество используемых страниц паспорта?,Единоличная власть губернатора
Перец выращивается на протяжении тысячелетий. С какого континента мы можем проследить их происхождение?,Северная и Южная Америка
Колотые раны - это навык какого персонажа в Ceroli Crisis?,Астрид
В Катаре действует арабское стандартное время. Как это будет обозначено с помощью UTC?,МК+3:00
В какого рыцаря Круглого стола влюбилась королева Гвиневра по легенде о короле Артуре?,Ланселот
Королева Англии Виктория принадлежала к какому королевскому дому?,Дом Ганноверов
Рафаэль наиболее известен своим созданием чего-либо из нижеперечисленного?,Афинская школа
Ру-посуда – один из самых известных видов китайской керамики, известный своей нежной бледно-голубой глазурью. От какой династии он произошел?,Песня
Картина Сандро Боттичелли «Венера и Марс» славится яркими красками и красивыми фигурами. В какой галерее сейчас находится эта картина?,Национальная галерея в Лондоне
Дед Мороз путешествует на санях, запряженных каким животным?,Северный олень
Сценарист Маргерит Дюрас известна по сценарию к фильму «Хиросима, моя любовь». Где она родилась?,Вьетнам
Сондок была королевой Силла (часть современной Кореи). Как ее звали при рождении?,Ким Докман
Сколько этажей в шанхайской башне Цзинь Мао?,88.0
Сколько раз с момента своего основания в 1863 году Международный комитет Красного Креста получал Нобелевскую премию мира?,3.0
Некоторые зубные пасты содержат порошкообразный карбонат кальция. Какова его функция?	,Действует как абразив
Благодаря большим залежам буры и пигмента местных водорослей, Лагуна Колорада представляет собой фантастический пейзаж красного и белого цветов. В какой стране он находится?,Боливия
«Битва при Лас-Навас-де-Толоса» стала главным поворотным моментом в каком конфликте?,Реконкиста
«Говядина Веллингтон» включает в себя приготовление филе-миньона, завернутого внутрь какого еще ингредиента?,Слоеное тесто
Некоторые историки считают, что «День плиток» знаменует начало Французской революции. В каком городе это происходило?,Гренобль
«Резак стрекозы» был любимым оружием какого легендарного воина?,Хонда Тадакацу
Феномен «Эль-Ниньо» назван в честь какого из этих фестивалей?,Рождество
«Марш независимости» является государственным гимном какой страны?,Турция
«Тремя великими философами» Древней Греции были Платон, Аристотель и кто?,Сократ
«Виндзорский узел» стал популярным благодаря какому королю Англии?,Эдуард VIII
Сундук достижений за 1 000 очков включает в себя:,Эпическая скульптура командира
Чемпионат мира 2022 года станет первым мужским чемпионатом мира с судьями-женщинами. Сколько их будет?,3.0
24 «солнечных термина» — это традиционная китайская календарная система, используемая для каких целей?,Сельское хозяйство
Премия «Оскар» иногда вручает гуманитарную премию Джин Хершолт. В каком из этих фильмов снялась Джин Хершолт?,Жадность (1924)
Воздух часто кажется свежим после грозы, потому что он был обогащен каким газом?,Озон
Технология Альянса «Страж территории» увеличивает какой атрибут войск при сражении на территории Альянса?,Атака
Древние Олимпийские игры проводились каждые 4 года в Олимпии, на юго-западе Греции. В каком году, как считается, они начались?,776 г. до н.э.
Аральское море когда-то было четвертым по величине озером в мире, но с тех пор оно в основном высохло. Где он находится?,Центральная Азия
Аукционный дом Sotheby's был основан в 1744 году в каком английском городе?,Лондон
Бастилия, тюрьма, когда-то расположенная в центре Парижа, Франция, первоначально служила какой цели?,Оборонительная крепость
Фрагменты чертежей какого из перечисленных ниже аксессуаров НЕЛЬЗЯ получить в магазине сезона «Завоевание»?,Кулон Вечной Ночи
Границы какой из этих стран простираются по двум континентам?,Египет
Собор Парижской Богоматери в каком стиле построен?,Готический
Украшение города «Ворота Иштар» является данью уважения какой из следующих цивилизаций?,Вавилония
Кофейное зерно на самом деле является разновидностью...?,Фрукт
Колосс Родосский изображает какого бога солнца?,Гелиос
Колосс Родосский представляет какого греческого бога?,Гелиос
Из какого произведения Монтескье взялось понятие «разделения властей»?,Дух закона
Конусообразные ветры торнадо примечательны тем, что делают?,Прядение
Повседневная физическая активность народа майя НЕ включала в себя:,Подбрасывание пингвина
Глубина в самой глубокой точке Балтийского моря составляет:,459 м
Цель оправдывает средства – вот ключевое убеждение автора «Государя». Как его звали?,Макиавелли
Эпос «Поэма об Эль Сиде» родом из какой страны?,Испания
Знаменитая скульптура эпохи Возрождения «Пьета» была работой какого художника?,Микеланджело
Флаг какой страны является старейшим постоянно используемым национальным флагом?,Дания
Четыре самых больших мюзикла в мире: «Кошки», «Отверженные», «Мисс Сайгон» и...?,Призрак Оперы
Четырьмя основными разновидностями гучжэн в Древнем Китае были Хаочжун, Луци, Цзяовэй и...?,Раолян
Галльский петух является официальным национальным символом какой страны?,Франция
Озеро Хенераль-Каррера берет свое начало из ледников Анд. Какие две страны граничат с озером?,Аргентина и Чили
Какой физик опубликовал общую теорию относительности?,Эйнштейн
На каком кинофестивале вручается премия «Золотой медведь»?,Берлинский кинофестиваль
Премия «Золотая перчатка» имени Льва Яшина вручается лучшему вратарю чемпионата мира. На каком чемпионате мира она была присуждена впервые?,15-е
Греческий алфавит произошел от какой другой системы письма?,Финикийский
В греческом эпосе «Одиссея» записано возвращение героя Одиссея с войны. Где была его родина?,Итака
Что из перечисленного в королевстве титул «Королева» увеличивается?,Скорость набора
Пизанская башня находится в какой из этих стран?,Италия
Львиные ворота – самая большая сохранившаяся доисторическая скульптура в Эгейском море. Где он находится?,Микены
Пистолет Luger, изготовленный для немецкой армии во время Второй мировой войны, использует какой тип боеприпасов?,9мм Парабеллум
Талисманом чемпионата мира по футболу 2010 года в ЮАР стал антропоморфный леопард с зеленой шерстью. Как его звали?,Закуми
Военачальник Карл Мартелл НЕ был известен чем из нижеперечисленного?,Передовые кавалерийские подразделения
Чем больше генетической изменчивости в популяции, тем больше вероятность того, что какая-то особь будет чем-то отличаться.,Выжить
Империя Великих Моголов несла ислам куда?,Большая часть Индии
В каком американском городе находится Музей современного искусства?,Нью-Йорк
Роман «Роман о Троецарствии» начинается в конце правления какой китайской династии?,Хан
Пантеон был местом захоронения многих известных художников, начиная с эпохи Возрождения. Кто из следующих художников был похоронен там?,Рафаэль
Период после падения микенской цивилизации и до рождения греческих городов-государств известен как греческие темные века. Какие из этих произведений были написаны в это время?,Одиссея
В какой части света зародилась финикийская цивилизация?,Восточное Средиземноморье
Поэт Фернандо Пессоа был известен тем, что писал свои стихи в виде разных «персонажей», которых он называл «гетеронимами». Какой из них НЕ является одним из гетеронимов, которые использовал Пессоа?,Франсиско Норман
Доисторических людей, известных как «homo floresiensis», также обычно называют «homo floresiensis»?,Хоббиты
Процесс соединения атомов известен как что?,Слияние
Процесс расщепления атомов известен как?,Расщепление
Пунические войны вел Древний Рим и какая еще древняя империя?,Древний Карфаген
Карта набережной реки Цинмин отражает повседневную жизнь и ландшафт какой древней китайской династии?,Песня
Ренессанс был «перерождением» чего?,Классическая культура
Поговорка «Империя, над которой никогда не заходит солнце» первоначально использовалась по отношению к империи какой страны?,Испания
Шкала Сковилла часто используется для оценки остроты перца, более высокое значение означает большую остроту. Какой из этих перцев оценивается более чем в 1 миллион по шкале Сковилла?,Душа перца
Поющие песчаные дюны в Дуньхуане, Китай, известны тем, что издают громкий звук барабанов, когда дует ветер. Частью какой пустыни они являются?,Пустыня Кумтаг
Во времена какой индийской династии был построен Тадж-Махал?,Династия Великих Моголов
Стиль украшения керамики династии Тан, известный как «саньцай», в основном использует какие три цвета?,Желтый, зеленый, белый
Третья Пуническая война привела к падению какого государства?,Карфаген
Тремя королевствами Кореи были Пэкче, Силла и ...?,Когурё
Двумя столицами Австро-Венгрии были Будапешт и какой еще город?,Вена
На эмблеме сборной Уругвая изображены четыре звезды. Сколько чемпионатов мира она выиграла?,Два
Сценарист «Песни льда и пламени» недавно внес свой вклад в сценарий какой видеоигры?,Элден Ринг
Дирижабль изобрели инженеры из какой страны?,Германия
Чтобы разблокировать достижение «Тропа Хуаронга», вы должны использовать Гуань Юя, чтобы победить отряд во главе с кем из следующих командиров?,Цао Цао
Кому Индия дала титул «Махатма»?,Мохандас Карамчанд Ганди
Токугава Иэясу и кто еще стал тремя «великими объединителями» Японии?,Ода Нобунага и Тоётоми Хидэёси
Тунваньчэн был столицей какого этноса из древнего Китая?,Хунну
Какой слой Солнца мы можем увидеть невооруженным глазом при нормальных обстоятельствах?,Фотосфера
К какой категории относится официальная письменность Древнего Египта?,Иероглифический
При каком фараоне служил древнеегипетский министр Имхотеп?,Джосер
Используя отряд под предводительством Юлия Цезаря и Клеопатры VII, какие из дополнительных действий разблокируют достижение «Бессмертные тоски»?,Нападение на город
Уэльс официально стал частью Королевства Великобритания, во время правления какого короля?,Генрих VIII
Какое достижение можно получить, потратив более 200 золотых ключей в таверне за одну транзакцию?,Ва-банк
В какую эпоху вступила Древняя Греция после уничтожения микенской цивилизации?,Темные века
Каким древнеримским руинам, расположенным в Алжире, в 1982 году был официально присвоен статус Всемирного наследия?,Руины Джемилы
В честь какого животного на древнегреческом языке назван «Тигр»?,Тигр
На каком животном основан талисман зимних Олимпийских игр 2022 года?,Панда
Для чего используются Стрелы Сопротивления?,Чтобы улучшить Сторожевую башню
Для чего используются Книги Заветов?,Чтобы улучшить Замок, выполните следующие действия:
Каковы размеры тумана, рассеиваемого предметом на карте Королевства?,10×10
Какую пользу дает изучение «Математики» в Академии?,Повышенная скорость исследований
Что технология «Каменная кладка» может помочь вам улучшить?,Скорость строительства зданий в вашем городе
Что стало причиной смерти выдающегося государственного деятеля и военного стратега Перикла?,Чума
Что стало причиной смерти родителей вождя Сероли Декара?,Открытие их колдовских исследований
Что вызывает лунные затмения?,Земля движется прямо между Солнцем и Луной
Какая цивилизация развивалась между реками Тигр и Евфрат?,Месопотамцы
Какого цвета живые цветы в Лицее Мудрости для французской цивилизации?,Красный
Какого цвета крылья на украшении Пегас?,Золото
Какого цвета драгоценные камни выгравированы на короне командора Эль Сида?,Красный
Какого цвета шкура белого медведя?,Чёрный
Какой цвет используется на крышах зданий в японской цивилизации?,Чёрный
Какой цвет краски предпочитали древнеегипетские семьи для стен своих домов?,Белый
Какого цвета парус поднял Тесей на своем корабле, чтобы показать своему отцу Эгею, что он успешно убил Минотавра?	Белый
Какого цвета был матчбол в финале чемпионата мира 1966 года?	Апельсин
Из какой страны родом печально известный пират Черная Борода?	Англия
Какой страны нет в Европе?	Египет
Из какой страны был родом Зигмунд Фрейд, отец психоанализа?	Австрия
Какого числа ежегодно отмечается Всемирный день окружающей среды?	5 июня
Что изучал Че Гевара в колледже?	Лекарство
Чем занимался Спартак, будучи рабом, прежде чем возглавить крупнейшее восстание рабов в Древнем Риме?	Гладиатор
Что же означало название Луксорского храма в Древнем Египте?	Южное святилище
Что изначально означало слово «марафон»?	Топоним
Чем зарабатывал на жизнь Теодорус Ван Гог, младший брат знаменитого голландского художника Винсента Ван Гога?	Арт-дилер
Какое открытие сделало возможной расшифровку иероглифов?	Розеттский камень
Что копейщики-драконы носят в левой руке?	Курительная трубка
Что нужно сделать, чтобы получить достижение «Защита свидетелей»?	Смените никнейм 10 раз
Что означает «хет-трик» в футболе?	Один игрок забил 3 гола за свою команду
Что символизирует иероглиф анкх в древнеегипетских иероглифах?	Жизнь
Что означает слово «Формула» в «Formula 1 Racing»?	Правила, которым должны следовать участвующие автомобили
Какое событие ознаменовало начало эллинистического периода?	Смерть Александра Македонского
По какому изречению из четырех слов жил Ода Нобунага?	Правило С абсолютной силой
Какое почетное звание получил основатель Kentucky Fried Chicken (KFC)?	Полковник
Какое изображение выгравировано на оружии Молот Солнца и Луны?	Солнце
Какую информацию фальсифицирует предмет Обманные войска для вражеских разведчиков?	Количество юнитов в вашем городе
Какие ингредиенты используются для приготовления «цзунцзы», традиционного блюда, которое едят в Китае во время Фестиваля лодок-драконов?	Клейкий рис
Какой инструмент был официально запрещен ФИФА после чемпионата мира 2010 года в ЮАР?	Вувузела
Что такое «световой год»?	Расстояние
Какое прозвище у Велизария?	Последний из римлян
Какая самая ранняя известная книга по военной стратегии Китая?	Сунь Цзы «Искусство войны»
В чем хорош коммандер Бейбарс?	Передовые кавалерийские подразделения
Как называется навык мастерства командира Цао Цао?	Император Вэй У-ди
В чем хорош командир Ыльджи Мундок?	Передовые пехотные подразделения
В чем хорош коммандер Герман?	Передовые отряды лучников
В чем хорош коммандер Кейра?	Передовые отряды лучников
В чем хорош коммандер Ланселот?	Передовые кавалерийские подразделения
В чем хорош коммандер Осман I?	Нападение на города
В чем хорош командир Сунь Цзы?	Ведущие городские гарнизоны
Какое прозвище у Юлия Цезаря в Rise of Kingdoms?	Некоронованный император
Какое прозвище у Юлия Цезаря?	Некоронованный король
Как называется Огненный Шаман Караку?	Денко
Какое 2-е по величине государство, входящее в состав Соединенного Королевства?	Шотландия
Как на самом деле называется симфония Дмитрия Шостаковича «Ленинград»?	Симфония No 7 до мажор
Какую способность для сплочения альянса обеспечивает форт 15-го уровня?	775000.0
Каково альтернативное название пьесы Шекспира «Двенадцатая ночь»?	Что вы будете делать
Какой бонус дает тема легендарного города «Ледяная крепость»?	Защита пехоты +10%
Какая столица Республики Чили?	Сантьяго
Как называется центр урагана?	Глаз
Какое прозвище у чемпиона Кейры?	Красный хамелеон
Что такое химический символ сурьмы?	Сб
Какого цвета цветочный головной убор полководца Шарки в Rise of Kingdoms?	Красный
Какого цвета нефритовый кулон на талии военачальника Цао Цао?	Зеленый
В чем хорош командир Ганнибал Барса?	Нападение на города
Каково отношение пересчета ампер (А) к миллиамперам (мА)?	17:40
Какова вместимость войск по умолчанию, если ваш замок 25-го уровня?	2 миллиона
Какова пропускная способность по умолчанию, если ваш торговый пост имеет 25-й уровень?	5 миллионов
Каков срок действия предмета «Набор строителей»?	2 дня
Каков эффект аксессуара «Возмездие»?	Урон от контратак +8%
Как называется Навык Мастерства полководца Александра Македонского?	Сын Амона
Сколько стоит украшение «Скульптура человека»?	2000.0
Каков период полураспада йода-129, радиоактивного изотопа, производимого ядерными реакторами?	15,7 млн лет
Какая часть человеческого тела самая твердая?	Зубная эмаль
Какой щелочноземельный металл самый тяжелый?	Радий
Какая самая высокая островная вершина в мире?	Пунчак Джая
Какого самого высокого уровня может достичь мэрия в РК?	25.0
Какая самая высокая гора в Африке?	Гора Килиманджаро
Какое внутриигровое прозвище у Клеопатры VII?	Царица Египта
Какой аэропорт самый большой в мире по площади?	Международный аэропорт имени короля Фахда
Какое самое большое животное на планете?	Синий кит
